NUMERO_CUENTA,MES,ANIO,IMPORTE
7050003,2,2025,-70
7050003,2,2025,-161
7050003,2,2025,-704
7050003,2,2025,-326
7050003,2,2025,-49
7050003,2,2025,-805
7050003,2,2025,-74
7050003,2,2025,-21
7050003,2,2025,-1635
7050003,2,2025,-1169
7050003,2,2025,-1785
7050003,2,2025,-448
7050003,2,2025,-84
7050003,2,2025,-93
7050003,2,2025,-973
7050003,2,2025,-196
7050003,2,2025,-182
7050003,2,2025,-147
7050003,2,2025,-77
7050003,2,2025,-49
7050003,2,2025,-158
7050003,2,2025,-533
7050003,2,2025,-195
7050003,2,2025,-563
7050003,2,2025,-540
7050003,2,2025,-67
7050003,2,2025,-98
7050003,2,2025,-332
7050003,2,2025,-3898
7050003,2,2025,-2085
7050003,2,2025,-1066
7050003,2,2025,-1159
7050003,2,2025,-64
7050003,2,2025,-4854
7050003,2,2025,-469
7050003,2,2025,-933
7050003,2,2025,-2069
7050003,2,2025,-3500
7050003,2,2025,-246
7050003,2,2025,-196
7050003,2,2025,-1823
7050003,2,2025,-123
7050003,2,2025,-127
7050003,2,2025,-50
7050003,2,2025,-40
7050003,2,2025,-97
7050003,2,2025,-200
7050003,2,2025,-206
7050003,2,2025,-27
7050003,2,2025,-166
7050003,2,2025,-1395
7050003,2,2025,-2866
7050003,2,2025,-54
7050003,2,2025,-21
7050003,2,2025,-1215
7050003,2,2025,-7
